                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0755,                0.89181,                 1.1554,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.0756,                0.91312,                 1.1521,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.0718,                0.88567,                 1.1484,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.0661,                0.89928,                 1.1471,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     70,                 1.0693,                0.89553,                 1.1539,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.0633,                0.90826,                 1.1348,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     72,                  1.081,                0.91886,                 1.1695,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.0634,                0.89622,                 1.1504,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.0544,                0.85666,                  1.145,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.0417,                0.89032,                 1.1334,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     76,                  1.068,                0.92305,                 1.1466,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.0589,                0.92152,                 1.1544,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.0606,                0.88018,                 1.1455,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.0407,                0.91898,                 1.1373,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
